縣市,年度,可支配所得,臺灣地區可支配所得,對數成長率,全國對數成長率,相對成長率,相對成長率百分點,縣市首長黨籍,縣市首長黨籍代碼
南投縣,1999,858800,889053,0.1685302763784886,0.01802085734396286,0.15050941903452575,15.050941903452575,中國國民黨,KMT
南投縣,2000,729438,891445,-0.16326169137260216,0.002686890340863002,-0.16594858171346516,-16.594858171346516,中國國民黨,KMT
南投縣,2001,694028,868651,-0.04976206911776515,-0.025902308074623903,-0.023859761043141248,-2.3859761043141248,中國國民黨,KMT
南投縣,2002,683359,875919,-0.015491961779702024,0.008332187356849374,-0.023824149136551398,-2.38241491365514,中國國民黨,KMT
南投縣,2003,681544,881662,-0.002659531219151745,0.00653514169686531,-0.009194672916017055,-0.9194672916017055,中國國民黨,KMT
南投縣,2004,738359,891249,0.08006934367118568,0.010815087103630106,0.06925425656755557,6.925425656755557,中國國民黨,KMT
南投縣,2005,748483,894574,0.01361833532432044,0.003723777599661915,0.009894557724658526,0.9894557724658526,中國國民黨,KMT
南投縣,2006,815573,913092,0.0858424421784516,0.020489014913620096,0.06535342726483151,6.535342726483151,中國國民黨,KMT
南投縣,2007,722209,923874,-0.12157636300175056,0.011739056485431831,-0.1333154194871824,-13.33154194871824,中國國民黨,KMT
南投縣,2008,708936,913687,-0.018549316212959965,-0.011087636668321466,-0.0074616795446385,-0.74616795446385,中國國民黨,KMT
南投縣,2009,808713,887605,0.13167884068031022,-0.028961237827966002,0.16064007850827622,16.064007850827622,中國國民黨,KMT
南投縣,2010,782905,889353,-0.032432734749800574,0.001967407855257619,-0.03440014260505819,-3.4400142605058193,中國國民黨,KMT
南投縣,2011,729037,907988,-0.07128687522630628,0.02073693058900794,-0.09202380581531422,-9.202380581531422,中國國民黨,KMT
南投縣,2012,831790,923584,0.13185551993698752,0.01703059115868122,0.1148249287783063,11.48249287783063,中國國民黨,KMT
南投縣,2013,748930,942208,-0.10493448391001436,0.01996430318257225,-0.12489878709258662,-12.489878709258662,中國國民黨,KMT
南投縣,2014,782566,956849,0.0439327426995586,0.015419537263454686,0.028513205436103917,2.8513205436103917,中國國民黨,KMT
