income_1996,income_2024,growth_1996_2024,rank_1996,rank_2024,rank_change,dominant_party,dpp_pct,kmt_pct,county
210105.4,210000.0,-0.0005016529798853586,19,20,-1,KMT,0.27586206896551724,0.7241379310344828,南投縣
237601.2,287000.0,0.2079063573752995,10,10,0,KMT,0.13793103448275862,0.5517241379310345,嘉義市
231439.4,257600.0,0.11303434073887164,13,16,-3,DPP,0.8275862068965517,0.1724137931034483,嘉義縣
255917.6,298400.0,0.16600030634860596,7,9,-2,KMT,0.41379310344827586,0.5862068965517241,基隆市
218221.8,273200.0,0.2519372491657572,17,12,5,DPP,0.6206896551724138,0.3793103448275862,宜蘭縣
233010.6,260000.0,0.11582906528715853,12,14,-2,DPP,1.0,0.0,屏東縣
210061.2,258400.0,0.23011769903247248,20,15,5,KMT,0.27586206896551724,0.7241379310344828,彰化縣
261906.6,332000.0,0.267627467196321,5,4,1,KMT,0.3103448275862069,0.6896551724137931,新北市
320717.6,396000.0,0.23473111547355074,2,2,0,KMT,0.41379310344827586,0.4827586206896552,新竹市
292602.2,366000.0,0.25084500389949227,3,3,0,KMT,0.1724137931034483,0.8275862068965517,新竹縣
255455.8,328600.0,0.28632820237395284,8,5,3,KMT,0.41379310344827586,0.5862068965517241,桃園市
230910.0,256400.0,0.1103893291758693,14,17,-3,KMT,0.27586206896551724,0.7241379310344828,澎湖縣
250202.4,318600.0,0.2733690803925142,9,6,3,KMT,0.27586206896551724,0.7241379310344828,臺中市
366924.0,446000.0,0.21551056894615783,1,1,0,KMT,0.06896551724137931,0.6551724137931034,臺北市
237487.8,303400.0,0.27753930938768234,11,8,3,DPP,0.9655172413793104,0.034482758620689655,臺南市
219991.8,232800.0,0.058221260974272715,16,19,-3,KMT,0.0,0.7241379310344828,臺東縣
266768.6,273600.0,0.025607961356771458,4,11,-7,KMT,0.0,1.0,花蓮縣
224064.2,268000.0,0.19608576470493722,15,13,2,KMT,0.0,0.6206896551724138,苗栗縣
217586.8,250600.0,0.15172427739182703,18,18,0,DPP,0.4482758620689655,0.41379310344827586,雲林縣
256676.4,312400.0,0.2170967023068735,6,7,-1,DPP,0.7931034482758621,0.20689655172413793,高雄市
