county,party,dominance_pct,income_1996,income_2024,growth_pct,excess_growth_pct,excess_growth_log
南投縣,KMT,72.41379310344827,210105.4,210000.0,-0.05016529798853586,-18.685890871004695,-0.1713892614939661
花蓮縣,KMT,100.0,266768.6,273600.0,2.560796135677146,-16.074929437339016,-0.14560191285663054
臺東縣,KMT,72.41379310344827,219991.8,232800.0,5.8221260974272715,-12.813599475588887,-0.11429803971728816
澎湖縣,KMT,72.41379310344827,230910.0,256400.0,11.03893291758693,-7.59679265542923,-0.06617678181194836
嘉義縣,DPP,82.75862068965517,231439.4,257600.0,11.303434073887164,-7.332291499128996,-0.06379755661387848
屏東縣,DPP,100.0,233010.6,260000.0,11.582906528715853,-7.052819044300307,-0.06128979772173146
雲林縣,DPP,44.827586206896555,217586.8,250600.0,15.172427739182703,-3.4632978338334564,-0.02962729155924204
基隆市,KMT,58.620689655172406,255917.6,298400.0,16.600030634860595,-2.0356949381555633,-0.017308131981207897
苗栗縣,KMT,62.06896551724138,224064.2,268000.0,19.608576470493723,0.9728508974775618,0.008166879932813342
嘉義市,KMT,55.172413793103445,237601.2,287000.0,20.79063573752995,2.1549101645137902,0.018001095134707018
臺北市,KMT,65.51724137931035,366924.0,446000.0,21.551056894615783,2.9153313215996235,0.024276727234980422
高雄市,DPP,79.3103448275862,256676.4,312400.0,21.70967023068735,3.0739446576711904,0.02558078778288525
彰化縣,KMT,72.41379310344827,210061.2,258400.0,23.01176990324725,4.376044330231088,0.03622237243247958
新竹市,KMT,48.275862068965516,320717.6,396000.0,23.473111547355074,4.837385974338915,0.03996574346698417
新竹縣,KMT,82.75862068965517,292602.2,366000.0,25.084500389949227,6.448774816933067,0.05293184340248838
宜蘭縣,DPP,62.06896551724138,218221.8,273200.0,25.19372491657572,6.557999343559562,0.05380466830307151
新北市,KMT,68.96551724137932,261906.6,332000.0,26.7627467196321,8.127021146615942,0.0662595346180308
臺中市,KMT,72.41379310344827,250202.4,318600.0,27.33690803925142,8.701182466235258,0.07077872451887682
臺南市,DPP,96.55172413793103,237487.8,303400.0,27.753930938768235,9.118205365752075,0.07404833053606372
桃園市,KMT,58.620689655172406,255455.8,328600.0,28.632820237395286,9.997094664379125,0.08090432240964995
