county,year,local_party,central_party,aligned,party_alternation,consecutive_years,dpp_dummy,kmt_dummy
基隆市,2002,KMT,DPP,0,1,2,0,1
基隆市,2003,KMT,DPP,0,1,3,0,1
基隆市,2004,KMT,DPP,0,1,4,0,1
基隆市,2005,KMT,DPP,0,0,5,0,1
基隆市,2006,KMT,DPP,0,0,6,0,1
基隆市,2007,KMT,DPP,0,0,7,0,1
基隆市,2008,KMT,KMT,1,0,8,0,1
基隆市,2009,KMT,KMT,1,0,9,0,1
基隆市,2010,KMT,KMT,1,0,10,0,1
基隆市,2011,KMT,KMT,1,0,11,0,1
基隆市,2012,KMT,KMT,1,0,12,0,1
基隆市,2013,KMT,KMT,1,0,13,0,1
基隆市,2014,DPP,KMT,0,1,1,1,0
基隆市,2015,DPP,KMT,0,1,2,1,0
基隆市,2016,DPP,DPP,1,1,3,1,0
基隆市,2017,DPP,DPP,1,1,4,1,0
基隆市,2018,DPP,DPP,1,0,5,1,0
基隆市,2019,DPP,DPP,1,0,6,1,0
基隆市,2020,DPP,DPP,1,0,7,1,0
基隆市,2021,DPP,DPP,1,0,8,1,0
基隆市,2022,KMT,DPP,0,1,1,0,1
基隆市,2023,KMT,DPP,0,1,2,0,1
基隆市,2024,KMT,DPP,0,1,3,0,1
宜蘭縣,1990,DPP,KMT,0,0,1,1,0
宜蘭縣,1991,DPP,KMT,0,0,2,1,0
宜蘭縣,1992,DPP,KMT,0,0,3,1,0
宜蘭縣,1993,DPP,KMT,0,0,4,1,0
宜蘭縣,1994,DPP,KMT,0,0,5,1,0
宜蘭縣,1995,DPP,KMT,0,0,6,1,0
宜蘭縣,1996,DPP,KMT,0,0,7,1,0
宜蘭縣,1997,DPP,KMT,0,0,8,1,0
宜蘭縣,1998,DPP,KMT,0,0,9,1,0
宜蘭縣,1999,DPP,KMT,0,0,10,1,0
宜蘭縣,2000,DPP,DPP,1,0,11,1,0
宜蘭縣,2001,DPP,DPP,1,0,12,1,0
宜蘭縣,2002,DPP,DPP,1,0,13,1,0
宜蘭縣,2003,DPP,DPP,1,0,14,1,0
宜蘭縣,2004,DPP,DPP,1,0,15,1,0
宜蘭縣,2005,KMT,DPP,0,1,1,0,1
宜蘭縣,2006,KMT,DPP,0,1,2,0,1
宜蘭縣,2007,KMT,DPP,0,1,3,0,1
宜蘭縣,2008,KMT,KMT,1,1,4,0,1
宜蘭縣,2009,DPP,KMT,0,1,1,1,0
宜蘭縣,2010,DPP,KMT,0,1,2,1,0
宜蘭縣,2011,DPP,KMT,0,1,3,1,0
宜蘭縣,2012,DPP,KMT,0,1,4,1,0
宜蘭縣,2013,DPP,KMT,0,0,5,1,0
宜蘭縣,2014,DPP,KMT,0,0,6,1,0
宜蘭縣,2015,DPP,KMT,0,0,7,1,0
宜蘭縣,2016,DPP,DPP,1,0,8,1,0
宜蘭縣,2017,DPP,DPP,1,0,9,1,0
宜蘭縣,2018,KMT,DPP,0,1,1,0,1
宜蘭縣,2019,KMT,DPP,0,1,2,0,1
宜蘭縣,2020,KMT,DPP,0,1,3,0,1
宜蘭縣,2021,KMT,DPP,0,1,4,0,1
宜蘭縣,2022,KMT,DPP,0,0,5,0,1
宜蘭縣,2023,KMT,DPP,0,0,6,0,1
宜蘭縣,2024,KMT,DPP,0,0,7,0,1
屏東縣,1990,KMT,KMT,1,0,1,0,1
屏東縣,1991,KMT,KMT,1,0,2,0,1
屏東縣,1992,KMT,KMT,1,0,3,0,1
屏東縣,1993,DPP,KMT,0,1,1,1,0
屏東縣,1994,DPP,KMT,0,1,2,1,0
屏東縣,1995,DPP,KMT,0,1,3,1,0
屏東縣,1996,DPP,KMT,0,1,4,1,0
屏東縣,1997,DPP,KMT,0,0,5,1,0
屏東縣,1998,DPP,KMT,0,0,6,1,0
屏東縣,1999,DPP,KMT,0,0,7,1,0
屏東縣,2000,DPP,DPP,1,0,8,1,0
屏東縣,2001,DPP,DPP,1,0,9,1,0
屏東縣,2002,DPP,DPP,1,0,10,1,0
屏東縣,2003,DPP,DPP,1,0,11,1,0
屏東縣,2004,DPP,DPP,1,0,12,1,0
屏東縣,2005,DPP,DPP,1,0,13,1,0
屏東縣,2006,DPP,DPP,1,0,14,1,0
屏東縣,2007,DPP,DPP,1,0,15,1,0
屏東縣,2008,DPP,KMT,0,0,16,1,0
屏東縣,2009,DPP,KMT,0,0,17,1,0
