year,county,income_rank,unemp_rank,dominant_party
2004,屏東縣,14,17,DPP
2004,彰化縣,19,10,KMT
2004,新北市,4,9,KMT
2004,新竹市,2,4,KMT
2004,新竹縣,3,1,KMT
2004,桃園市,5,2,KMT
2004,澎湖縣,15,16,KMT
2004,臺中市,7,7,KMT
2004,臺北市,1,3,KMT
2004,臺南市,11,6,DPP
2004,臺東縣,18,19,KMT
2004,花蓮縣,9,20,KMT
2004,苗栗縣,12,5,KMT
2004,雲林縣,17,11,DPP
2004,高雄市,6,15,DPP
2005,南投縣,20,18,KMT
2005,嘉義市,10,8,KMT
2005,嘉義縣,13,12,DPP
2005,基隆市,8,13,KMT
2005,宜蘭縣,15,14,DPP
2005,屏東縣,14,17,DPP
2005,彰化縣,18,10,KMT
2005,新北市,4,9,KMT
2005,新竹市,2,6,KMT
2005,新竹縣,3,1,KMT
2005,桃園市,5,2,KMT
2005,澎湖縣,16,16,KMT
2005,臺中市,7,7,KMT
2005,臺北市,1,5,KMT
2005,臺南市,11,4,DPP
2005,臺東縣,19,19,KMT
2005,花蓮縣,9,20,KMT
2005,苗栗縣,12,3,KMT
2005,雲林縣,17,11,DPP
2005,高雄市,6,15,DPP
2006,南投縣,20,16,KMT
2006,嘉義市,10,7,KMT
2006,嘉義縣,13,12,DPP
2006,基隆市,8,14,KMT
2006,宜蘭縣,14,15,DPP
2006,屏東縣,16,17,DPP
2006,彰化縣,18,8,KMT
2006,新北市,4,10,KMT
2006,新竹市,2,4,KMT
2006,新竹縣,3,1,KMT
2006,桃園市,5,3,KMT
2006,澎湖縣,15,13,KMT
2006,臺中市,7,9,KMT
2006,臺北市,1,6,KMT
2006,臺南市,11,5,DPP
2006,臺東縣,19,19,KMT
2006,花蓮縣,9,20,KMT
2006,苗栗縣,12,2,KMT
2006,雲林縣,17,11,DPP
2006,高雄市,6,18,DPP
2007,南投縣,20,16,KMT
2007,嘉義市,10,7,KMT
2007,嘉義縣,14,12,DPP
2007,基隆市,8,14,KMT
2007,宜蘭縣,13,15,DPP
2007,屏東縣,16,17,DPP
2007,彰化縣,18,8,KMT
2007,新北市,4,11,KMT
2007,新竹市,2,4,KMT
2007,新竹縣,3,1,KMT
2007,桃園市,5,3,KMT
2007,澎湖縣,15,13,KMT
2007,臺中市,7,9,KMT
2007,臺北市,1,6,KMT
2007,臺南市,11,5,DPP
2007,臺東縣,19,19,KMT
2007,花蓮縣,9,20,KMT
2007,苗栗縣,12,2,KMT
2007,雲林縣,17,10,DPP
2007,高雄市,6,18,DPP
2008,南投縣,20,16,KMT
2008,嘉義市,10,6,KMT
2008,嘉義縣,14,12,DPP
2008,基隆市,8,14,KMT
2008,宜蘭縣,13,15,DPP
2008,屏東縣,16,17,DPP
2008,彰化縣,18,7,KMT
2008,新北市,4,11,KMT
2008,新竹市,2,4,KMT
2008,新竹縣,3,1,KMT
2008,桃園市,5,3,KMT
2008,澎湖縣,15,13,KMT
2008,臺中市,6,10,KMT
2008,臺北市,1,9,KMT
2008,臺南市,11,5,DPP
2008,臺東縣,19,19,KMT
2008,花蓮縣,9,20,KMT
2008,苗栗縣,12,2,KMT
2008,雲林縣,17,8,DPP
2008,高雄市,7,18,DPP
2009,南投縣,20,16,KMT
2009,嘉義市,10,5,KMT
2009,嘉義縣,14,12,DPP
2009,基隆市,8,14,KMT
2009,宜蘭縣,13,15,DPP
2009,屏東縣,16,17,DPP
2009,彰化縣,18,6,KMT
2009,新北市,4,11,KMT
2009,新竹市,2,4,KMT
2009,新竹縣,3,1,KMT
2009,桃園市,5,3,KMT
2009,澎湖縣,15,13,KMT
2009,臺中市,6,9,KMT
2009,臺北市,1,10,KMT
2009,臺南市,11,8,DPP
2009,臺東縣,19,19,KMT
2009,花蓮縣,9,20,KMT
2009,苗栗縣,12,2,KMT
2009,雲林縣,17,7,DPP
2009,高雄市,7,18,DPP
2010,南投縣,20,16,KMT
2010,嘉義市,10,5,KMT
2010,嘉義縣,15,10,DPP
2010,基隆市,8,14,KMT
2010,宜蘭縣,13,15,DPP
2010,屏東縣,16,17,DPP
2010,彰化縣,18,7,KMT
2010,新北市,4,13,KMT
2010,新竹市,2,6,KMT
2010,新竹縣,3,1,KMT
2010,桃園市,5,3,KMT
2010,澎湖縣,14,12,KMT
2010,臺中市,6,9,KMT
2010,臺北市,1,11,KMT
2010,臺南市,11,8,DPP
2010,臺東縣,19,18,KMT
2010,花蓮縣,9,19,KMT
2010,苗栗縣,12,2,KMT
2010,雲林縣,17,4,DPP
2010,高雄市,7,20,DPP
2011,南投縣,20,17,KMT
2011,嘉義市,10,5,KMT
2011,嘉義縣,12,12,DPP
2011,基隆市,8,15,KMT
2011,宜蘭縣,16,14,DPP
2011,屏東縣,13,16,DPP
2011,彰化縣,19,6,KMT
2011,新北市,4,11,KMT
2011,新竹市,2,4,KMT
2011,新竹縣,3,1,KMT
2011,桃園市,5,3,KMT
2011,澎湖縣,14,13,KMT
2011,臺中市,9,8,KMT
2011,臺北市,1,10,KMT
2011,臺南市,11,9,DPP
2011,臺東縣,18,20,KMT
2011,花蓮縣,7,19,KMT
2011,苗栗縣,15,2,KMT
2011,雲林縣,17,7,DPP
2011,高雄市,6,18,DPP
2012,南投縣,20,17,KMT
2012,嘉義市,11,5,KMT
2012,嘉義縣,12,12,DPP
2012,基隆市,9,15,KMT
2012,宜蘭縣,16,14,DPP
2012,屏東縣,13,16,DPP
2012,彰化縣,19,6,KMT
2012,新北市,4,11,KMT
2012,新竹市,2,4,KMT
2012,新竹縣,3,1,KMT
2012,桃園市,5,3,KMT
2012,澎湖縣,15,13,KMT
2012,臺中市,7,7,KMT
2012,臺北市,1,10,KMT
2012,臺南市,10,9,DPP
2012,臺東縣,18,20,KMT
2012,花蓮縣,8,19,KMT
2012,苗栗縣,14,2,KMT
2012,雲林縣,17,8,DPP
2012,高雄市,6,18,DPP
2013,南投縣,20,18,KMT
2013,嘉義市,11,6,KMT
2013,嘉義縣,13,12,DPP
2013,基隆市,8,15,KMT
2013,宜蘭縣,16,14,DPP
2013,屏東縣,14,16,DPP
2013,彰化縣,18,7,KMT
2013,新北市,4,11,KMT
2013,新竹市,2,4,KMT
2013,新竹縣,3,1,KMT
2013,桃園市,5,3,KMT
2013,澎湖縣,15,13,KMT
2013,臺中市,6,5,KMT
2013,臺北市,1,8,KMT
2013,臺南市,10,9,DPP
2013,臺東縣,19,20,KMT
2013,花蓮縣,9,19,KMT
2013,苗栗縣,12,2,KMT
2013,雲林縣,17,10,DPP
2013,高雄市,7,17,DPP
2014,南投縣,20,18,KMT
2014,嘉義市,11,7,KMT
2014,嘉義縣,14,12,DPP
2014,基隆市,8,16,KMT
2014,宜蘭縣,13,14,DPP
2014,屏東縣,15,17,DPP
2014,彰化縣,18,8,KMT
2014,新北市,4,10,KMT
2014,新竹市,2,4,KMT
2014,新竹縣,3,1,KMT
2014,桃園市,5,3,KMT
2014,澎湖縣,16,13,KMT
2014,臺中市,6,5,KMT
2014,臺北市,1,6,KMT
2014,臺南市,10,9,DPP
2014,臺東縣,19,20,KMT
2014,花蓮縣,9,19,KMT
2014,苗栗縣,12,2,KMT
2014,雲林縣,17,11,DPP
2014,高雄市,7,15,DPP
2015,南投縣,20,19,KMT
2015,嘉義市,11,10,KMT
2015,嘉義縣,14,11,DPP
2015,基隆市,8,17,KMT
2015,宜蘭縣,13,12,DPP
2015,屏東縣,15,16,DPP
2015,彰化縣,18,7,KMT
2015,新北市,4,9,KMT
2015,新竹市,2,6,KMT
2015,新竹縣,3,1,KMT
2015,桃園市,5,2,KMT
2015,澎湖縣,16,15,KMT
2015,臺中市,6,5,KMT
2015,臺北市,1,4,KMT
2015,臺南市,10,8,DPP
2015,臺東縣,19,20,KMT
2015,花蓮縣,9,18,KMT
2015,苗栗縣,12,3,KMT
2015,雲林縣,17,14,DPP
2015,高雄市,7,13,DPP
2016,南投縣,20,19,KMT
2016,嘉義市,11,8,KMT
2016,嘉義縣,14,12,DPP
2016,基隆市,8,16,KMT
2016,宜蘭縣,13,13,DPP
2016,屏東縣,15,17,DPP
2016,彰化縣,18,9,KMT
2016,新北市,4,10,KMT
2016,新竹市,2,5,KMT
2016,新竹縣,3,1,KMT
2016,桃園市,5,3,KMT
2016,澎湖縣,16,14,KMT
2016,臺中市,6,4,KMT
2016,臺北市,1,6,KMT
2016,臺南市,10,7,DPP
2016,臺東縣,19,20,KMT
2016,花蓮縣,9,18,KMT
2016,苗栗縣,12,2,KMT
2016,雲林縣,17,11,DPP
2016,高雄市,7,15,DPP
2017,南投縣,20,19,KMT
2017,嘉義市,11,8,KMT
2017,嘉義縣,14,12,DPP
2017,基隆市,8,16,KMT
2017,宜蘭縣,13,13,DPP
2017,屏東縣,15,17,DPP
2017,彰化縣,18,9,KMT
2017,新北市,4,10,KMT
2017,新竹市,2,5,KMT
2017,新竹縣,3,1,KMT
2017,桃園市,5,3,KMT
2017,澎湖縣,16,14,KMT
2017,臺中市,6,4,KMT
2017,臺北市,1,6,KMT
2017,臺南市,9,7,DPP
2017,臺東縣,19,20,KMT
2017,花蓮縣,10,18,KMT
2017,苗栗縣,12,2,KMT
2017,雲林縣,17,11,DPP
2017,高雄市,7,15,DPP
2018,南投縣,20,19,KMT
2018,嘉義市,11,7,KMT
2018,嘉義縣,14,12,DPP
2018,基隆市,8,16,KMT
2018,宜蘭縣,12,13,DPP
2018,屏東縣,15,17,DPP
2018,彰化縣,17,8,KMT
2018,新北市,4,10,KMT
2018,新竹市,2,5,KMT
2018,新竹縣,3,1,KMT
2018,桃園市,5,3,KMT
2018,澎湖縣,16,14,KMT
2018,臺中市,6,4,KMT
2018,臺北市,1,9,KMT
2018,臺南市,9,6,DPP
2018,臺東縣,19,20,KMT
2018,花蓮縣,10,18,KMT
2018,苗栗縣,13,2,KMT
2018,雲林縣,18,11,DPP
2018,高雄市,7,15,DPP
2019,南投縣,20,19,KMT
2019,嘉義市,10,7,KMT
