year,composite,kmt_advantage,dpp_advantage,is_election_year
1996.0,0.7,0.2,-0.2,True
1996.0701754385964,0.7,0.2,-0.2,True
1996.140350877193,0.7,0.2,-0.2,False
1996.2105263157894,0.7,0.2,-0.2,False
1996.280701754386,0.7,0.2,-0.2,False
1996.3508771929824,0.7,0.2,-0.2,False
1996.421052631579,0.7,0.2,-0.2,False
1996.4912280701753,0.7,0.2,-0.2,False
1996.561403508772,0.6966474876359652,0.1966,-0.1966,False
1996.6315789473683,0.6901905453424383,0.1902,-0.1902,False
1996.701754385965,0.6841581799015448,0.1842,-0.1842,False
1996.7719298245613,0.6785436229189887,0.1785,-0.1785,False
1996.842105263158,0.6733401060003987,0.1733,-0.1733,False
1996.9122807017543,0.6685408607514735,0.1685,-0.1685,True
1996.982456140351,0.6641391187778466,0.1641,-0.1641,True
1997.0526315789473,0.6601281116852118,0.1601,-0.1601,True
1997.122807017544,0.656501071079208,0.1565,-0.1565,False
1997.1929824561403,0.6532512285655234,0.1533,-0.1533,False
1997.2631578947369,0.6503718157498022,0.1504,-0.1504,False
1997.3333333333333,0.6478560642377278,0.1479,-0.1479,False
1997.4035087719299,0.6456972056349493,0.1457,-0.1457,False
1997.4736842105262,0.6438884715471448,0.1439,-0.1439,False
1997.5438596491229,0.6424230935799682,0.1424,-0.1424,False
1997.6140350877192,0.6412943033390937,0.1413,-0.1413,False
1997.6842105263158,0.6404953324301788,0.1405,-0.1405,False
1997.7543859649122,0.6400194124588938,0.14,-0.14,False
1997.8245614035088,0.6398597750309005,0.1399,-0.1399,False
1997.8947368421052,0.6400096517518651,0.14,-0.14,False
1997.9649122807018,0.640462274227453,0.1405,-0.1405,True
1998.0350877192982,0.6412092707759808,0.1412,-0.1412,True
1998.1052631578948,0.6422053941068109,0.1422,-0.1422,False
1998.1754385964912,0.6433685213203348,0.1434,-0.1434,False
1998.2456140350878,0.6446149262296116,0.1446,-0.1446,False
1998.3157894736842,0.6458608826476852,0.1459,-0.1459,False
1998.3859649122808,0.6470226643876146,0.147,-0.147,False
1998.4561403508771,0.648016545262444,0.148,-0.148,False
1998.5263157894738,0.6487587990852318,0.1488,-0.1488,False
1998.5964912280701,0.6491656996690243,0.1492,-0.1492,False
1998.6666666666667,0.649153520826876,0.1492,-0.1492,False
1998.7368421052631,0.6486385363718383,0.1486,-0.1486,False
1998.8070175438597,0.6475370201169597,0.1475,-0.1475,False
1998.877192982456,0.6457652458752988,0.1458,-0.1458,False
1998.9473684210527,0.6432394874598956,0.1432,-0.1432,False
1999.017543859649,0.6398765352195228,0.1399,-0.1399,False
1999.0877192982457,0.635655680323173,0.1357,-0.1357,False
1999.157894736842,0.6306775998304712,0.1307,-0.1307,False
1999.2280701754387,0.6250569172650083,0.1251,-0.1251,False
1999.298245614035,0.618908256150443,0.1189,-0.1189,False
1999.3684210526317,0.6123462400103585,0.1123,-0.1123,False
1999.438596491228,0.6054854923684198,0.1055,-0.1055,False
1999.5087719298247,0.598440636748205,0.0984,-0.0984,False
1999.578947368421,0.5913262966733825,0.0913,-0.0913,False
1999.6491228070176,0.5842570956675289,0.0843,-0.0843,False
