year,composite,kmt_advantage,dpp_advantage,is_election_year
1996.0,0.7,0.2,-0.2,True
1996.0936454849498,0.7,0.2,-0.2,True
1996.1872909698998,0.7,0.2,-0.2,False
1996.2809364548496,0.7,0.2,-0.2,False
1996.3745819397993,0.7,0.2,-0.2,False
1996.468227424749,0.7,0.2,-0.2,False
1996.561872909699,0.6966028719551837,0.1966,-0.1966,False
1996.6555183946489,0.6880853070919969,0.1881,-0.1881,False
1996.7491638795987,0.680319696594853,0.1803,-0.1803,False
1996.8428093645484,0.6732899565855605,0.1733,-0.1733,False
1996.9364548494984,0.6669800031859132,0.167,-0.167,True
1997.0301003344482,0.6613737525177504,0.1614,-0.1614,True
1997.123745819398,0.6564551207028644,0.1565,-0.1565,False
1997.2173913043478,0.6522080238630632,0.1522,-0.1522,False
1997.3110367892978,0.6486163781201478,0.1486,-0.1486,False
1997.4046822742475,0.6456640995959437,0.1457,-0.1457,False
1997.4983277591973,0.6433351044122502,0.1433,-0.1433,False
1997.591973244147,0.6416133086908754,0.1416,-0.1416,False
1997.685618729097,0.6404826285536257,0.1405,-0.1405,False
1997.7792642140469,0.6399269801223153,0.1399,-0.1399,False
1997.8729096989966,0.6399302795187489,0.1399,-0.1399,False
1997.9665551839464,0.6404764428647353,0.1405,-0.1405,True
1998.0602006688964,0.6415412888018754,0.1415,-0.1415,True
1998.1538461538462,0.6429978790589719,0.143,-0.143,False
1998.247491638796,0.6446486417891739,0.1446,-0.1446,False
1998.3411371237457,0.6462946166888022,0.1463,-0.1463,False
1998.4347826086957,0.647736843454181,0.1477,-0.1477,False
1998.5284280936455,0.6487763617816241,0.1488,-0.1488,False
1998.6220735785953,0.649214211367456,0.1492,-0.1492,False
1998.715719063545,0.6488514319079981,0.1489,-0.1489,False
1998.809364548495,0.6474890630995664,0.1475,-0.1475,False
1998.9030100334448,0.6449281446384884,0.1449,-0.1449,False
1998.9966555183946,0.640969716221083,0.141,-0.141,False
1999.0903010033444,0.6354852548341011,0.1355,-0.1355,False
1999.1839464882944,0.6286598753977783,0.1287,-0.1287,False
1999.2775919732442,0.62076595662995,0.1208,-0.1208,False
1999.371237458194,0.6120758808269882,0.1121,-0.1121,False
1999.4648829431437,0.6028620302852793,0.1029,-0.1029,False
