年度,平均每戶可支配所得,臺灣地區平均每戶可支配所得,縣市,所得對數,全國所得對數,所得對數成長率,全國所得對數成長率,所得相對成長率百分點,失業率,企業家數,企業銷售額百萬元,企業家數對數成長率,企業銷售額對數成長率,中央執政黨代碼,中央執政黨,地方首長黨籍代碼,地方首長黨籍,中央地方同黨,地方是否主要政黨,地方國民黨執政,地方民進黨執政,六都,特殊產業結構縣市,離島縣市,任期年序,地方政黨輪替,失業率變動
2004,975383,891249,新竹縣,13.790585493359027,13.700379128690377,0.046827683267899545,0.010815087103630106,3.601259616426944,3.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.40000000000000036
2005,1053182,894574,新竹縣,13.86732661568726,13.70410290629004,0.07674112232823305,0.003723777599661915,7.301734472857113,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,0.10000000000000009
2006,957811,913092,新竹縣,13.772405751477026,13.72459192120366,-0.09492086421023416,0.020489014913620096,-11.540987912385425,3.4,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,8,0,-0.5
2007,910180,923874,新竹縣,13.72139766113056,13.736330977689091,-0.051008090346465806,0.011739056485431831,-6.274714683189764,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,9,0,0.5
2008,1063948,913687,新竹縣,13.877497075508991,13.72524334102077,0.15609941437843133,-0.011087636668321466,16.71870510467528,4.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,10,0,0.10000000000000009
2009,1011033,887605,新竹縣,13.826483138419459,13.696282103192804,-0.05101393708953239,-0.028961237827966002,-2.205269926156639,5.9,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,11,0,1.9000000000000004
2010,1052587,889353,新竹縣,13.866761501455038,13.698249511048061,0.04027836303557919,0.001967407855257619,3.831095518032157,5.1,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,12,0,-0.8000000000000007
2011,1097918,907988,新竹縣,13.908926217024215,13.71898644163707,0.04216471556917689,0.02073693058900794,2.142778498016895,4.1,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,13,0,-1.0
2012,1093853,923584,新竹縣,13.905216883648682,13.73601703279575,-0.0037093333755322533,0.01703059115868122,-2.073992453421347,4.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,14,0,-0.09999999999999964
2013,1073893,942208,新竹縣,13.886800921527271,13.755981335978323,-0.018415962121411056,0.01996430318257225,-3.8380265303983307,4.0,25085.0,972046.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,15,0,0.0
2014,1108941,956849,新竹縣,13.918916063835221,13.771400873241777,0.03211514230794954,0.015419537263454686,1.6695605044494854,3.9,25756.0,1026743.0,0.026397551739721692,0.05474380674146673,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,16,0,-0.10000000000000009
2015,1026352,964895,新竹縣,13.84152132579642,13.779774566110916,-0.07739473803880159,0.008373692869138694,-8.576843090794029,3.7,27004.0,1013205.0,0.047317393503686134,-0.013273082209794396,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,17,0,-0.19999999999999973
2016,1105002,993115,新竹縣,13.915357702887103,13.808601746996494,0.07383637709068402,0.02882718088557823,4.5009196205105795,3.9,27740.0,1036181.0,0.026890411707062967,0.02242326500885561,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,18,0,0.19999999999999973
2017,1271770,1018941,新竹縣,14.055920188922666,13.834274410626733,0.14056248603556298,0.0256726636302389,11.488982240532408,3.7,28607.0,1087626.0,0.03077602823619685,0.04845550033626367,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,19,0,-0.19999999999999973
2018,1183400,1036304,新竹縣,13.98390220922473,13.851171095050994,-0.07201797969793589,0.0168966844242604,-8.891466412219629,3.7,29590.0,1184964.0,0.03378502328923538,0.08571505504060895,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,20,0,0.0
2019,1224585,1059731,新竹縣,14.018112569053374,13.873525660297378,0.03421035982864318,0.022354565246384794,1.1855794582258383,3.8,30609.0,1197573.0,0.033857616949159564,0.010584614400171333,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,21,0,0.09999999999999964
2020,1294404,1079648,新竹縣,14.073560915516447,13.892145620049078,0.055448346463073506,0.01861995975169961,3.6828386711373895,3.8,31762.0,1330015.0,0.03697652332717638,0.10489321158659592,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,22,0,0.0
2021,1350178,1090554,新竹縣,14.115746993574772,13.902196381967281,0.042186078058325194,0.010050761918202866,3.2135316140122328,3.8,33270.0,1573891.0,0.04638548334193082,0.16836067691408196,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,23,0,0.0
2022,1380296,1108569,新竹縣,14.13780852688673,13.918580552380039,0.02206153331195715,0.01638417041275808,0.5677362899199068,3.7,34699.0,1697864.0,0.042054778063365106,0.07582009317330218,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,24,0,-0.09999999999999964
2023,1429260,1136708,新竹縣,14.17266738577832,13.943646923566812,0.03485885889159057,0.025066371186772685,0.9792487704817887,3.5,36070.0,1648467.0,0.038750626821697054,-0.029525225322016624,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,25,0,-0.20000000000000018
2024,1481536,1165206,新竹縣,14.208589945396778,13.968408453384745,0.035922559618457583,0.024761529817933337,1.1161029800524247,3.3,37387.0,1899479.0,0.03586155549749925,0.1417338729125781,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,26,0,-0.20000000000000018
1998,950235,873175,桃園市,13.764464601407253,13.67989127292283,,,,2.1,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,
1999,944302,889053,桃園市,13.758201309219901,13.697912130266793,-0.006263292187352221,0.01802085734396286,-2.428414953131508,2.0,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,-0.10000000000000009
2000,985426,891445,桃園市,13.80082931396819,13.700599020607656,0.04262800474828943,0.002686890340863002,3.9941114407426426,2.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,0.0
2001,923301,868651,桃園市,13.735710570831724,13.674696712533033,-0.06511874313646615,-0.025902308074623903,-3.9216435061842247,4.3,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,2.3
2002,979979,875919,桃園市,13.79528642184573,13.683028899889882,0.05957585101400653,0.008332187356849374,5.124366365715716,5.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,1,1,0.7999999999999998
2003,959744,881662,桃園市,13.774421861215474,13.689564041586747,-0.020864560630256435,0.00653514169686531,-2.7399702327121744,4.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,2,0,-0.39999999999999947
2004,995951,891249,桃園市,13.811453338569384,13.700379128690377,0.03703147735390999,0.010815087103630106,2.6216390250279886,4.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,3,0,-0.7000000000000002
2005,985537,894574,桃園市,13.800941949263848,13.70410290629004,-0.010511389305536412,0.003723777599661915,-1.4235166905198327,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,4,0,0.09999999999999964
2006,981273,913092,桃園市,13.7966059872945,13.72459192120366,-0.0043359619693479345,0.020489014913620096,-2.482497688296803,4.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,5,0,-0.09999999999999964
2007,1003789,923874,桃園市,13.819292397784688,13.736330977689091,0.022686410490187825,0.011739056485431831,1.0947354004755994,4.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,6,0,0.0
2008,960037,913687,桃園市,13.774727104367974,13.72524334102077,-0.04456529341671356,-0.011087636668321466,-3.3477656748392093,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,7,0,0.2999999999999998
2009,940942,887605,桃園市,13.754636780111051,13.696282103192804,-0.020090324256923253,-0.028961237827966002,0.8870913571042749,6.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,8,0,1.7000000000000002
2010,915499,889353,桃園市,13.727224550796816,13.698249511048061,-0.027412229314235148,0.001967407855257619,-2.9379637169492767,5.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,9,0,-0.7000000000000002
2011,961998,907988,桃園市,13.776767650643603,13.71898644163707,0.04954309984678673,0.02073693058900794,2.880616925777879,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,10,0,-0.8999999999999995
2012,1007045,923584,桃園市,13.822530857891929,13.73601703279575,0.045763207248326054,0.01703059115868122,2.8732616089644836,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,11,0,-0.10000000000000053
2013,1027658,942208,桃園市,13.842792984820472,13.755981335978323,0.02026212692854301,0.01996430318257225,0.029782374597076,4.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,12,0,0.0
2014,1088867,956849,桃園市,13.900648264061715,13.771400873241777,0.05785527924124345,0.015419537263454686,4.243574197778877,4.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,13,0,-0.2999999999999998
2015,1073806,964895,桃園市,13.886719904587702,13.779774566110916,-0.013928359474013163,0.008373692869138694,-2.2302052343151857,3.9,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,1,-0.10000000000000009
2016,1087073,993115,桃園市,13.898999321162103,13.808601746996494,0.012279416574401125,0.02882718088557823,-1.6547764311177104,4.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,0.10000000000000009
2017,1105711,1018941,桃園市,13.915999124929954,13.834274410626733,0.016999803767850707,0.0256726636302389,-0.8672859862388194,3.9,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,-0.10000000000000009
2018,1129990,1036304,桃園市,13.937719341091844,13.851171095050994,0.02172021616189035,0.0168966844242604,0.4823531737629949,3.8,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,4,0,-0.10000000000000009
2019,1147356,1059731,桃園市,13.952970722846205,13.873525660297378,0.015251381754360693,0.022354565246384794,-0.7103183492024101,3.8,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,5,0,0.0
2020,1182717,1079648,桃園市,13.983324892026156,13.892145620049078,0.03035416917995093,0.01861995975169961,1.1734209428251319,4.0,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,6,0,0.20000000000000018
2021,1190800,1090554,桃園市,13.990135908123758,13.902196381967281,0.006811016097602263,0.010050761918202866,-0.32397458206006036,4.0,135298.0,4546518.0,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,7,0,0.0
2022,1195169,1108569,桃園市,13.993798155942658,13.918580552380039,0.0036622478188998997,0.01638417041275808,-1.2721922593858181,3.7,139918.0,5303767.0,0.03357678362448269,0.15405565754314132,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,8,0,-0.2999999999999998
2023,1223521,1136708,桃園市,14.017243325591698,13.943646923566812,0.02344516964904031,0.025066371186772685,-0.16212015377323752,3.5,145224.0,5367522.0,0.037220841262159965,0.01194902669628739,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,1,1,-0.20000000000000018
2024,1240719,1165206,桃園市,14.031201608249388,13.968408453384745,0.013958282657689836,0.024761529817933337,-1.08032471602435,3.4,150158.0,6012089.0,0.03341069507515826,0.1134059260022049,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,2,0,-0.10000000000000009
1998,504624,873175,澎湖縣,13.131568876483723,13.67989127292283,,,,1.7,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,1,1,0,
1999,588607,889053,澎湖縣,13.285514007337364,13.697912130266793,0.15394513085364103,0.01802085734396286,13.592427350967817,1.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,1,1,0,-0.5
2000,697315,891445,澎湖縣,13.454992524522261,13.700599020607656,0.16947851718489737,0.002686890340863002,16.679162684403437,1.6,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,2,0,0.40000000000000013
2001,595548,868651,澎湖縣,13.297237269063126,13.674696712533033,-0.1577552554591346,-0.025902308074623903,-13.18529473845107,3.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,3,0,1.9
2002,605641,875919,澎湖縣,13.31404268026684,13.683028899889882,0.01680541120371437,0.008332187356849374,0.8473223846864997,4.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,4,0,0.5
2003,588048,881662,澎湖縣,13.28456385620206,13.689564041586747,-0.029478824064780085,0.00653514169686531,-3.6013965761645395,4.5,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,5,0,0.5
2004,720582,891249,澎湖縣,13.487814497800132,13.700379128690377,0.20325064159807127,0.010815087103630106,19.243555449444116,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,6,0,-0.40000000000000036
2005,628399,894574,澎湖縣,13.350930594019243,13.70410290629004,-0.13688390378088933,0.003723777599661915,-14.060768138055124,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,7,0,0.10000000000000053
2006,705881,913092,澎湖縣,13.467201947027554,13.72459192120366,0.1162713530083117,0.020489014913620096,9.578233809469161,4.1,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,1,1,-0.10000000000000053
2007,644462,923874,澎湖縣,13.376171139188699,13.736330977689091,-0.09103080783885531,0.011739056485431831,-10.276986432428714,3.8,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,2,0,-0.2999999999999998
2008,732450,913687,澎湖縣,13.504150358157917,13.72524334102077,0.1279792189692177,-0.011087636668321466,13.906685563753918,4.2,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,3,0,0.40000000000000036
2009,689166,887605,澎湖縣,13.44323744985953,13.696282103192804,-0.060912908298385915,-0.028961237827966002,-3.1951670470419913,5.7,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,4,0,1.5
2010,827323,889353,澎湖縣,13.625950466073101,13.698249511048061,0.1827130162135706,0.001967407855257619,18.0745608358313,5.1,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,5,0,-0.6000000000000005
2011,673081,907988,澎湖縣,13.419620957996774,13.71898644163707,-0.20632950807632788,0.02073693058900794,-22.706643866533582,4.4,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,6,0,-0.6999999999999993
2012,727056,923584,澎湖縣,13.496758782434917,13.73601703279575,0.0771378244381431,0.01703059115868122,6.010723327946188,4.2,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,7,0,-0.20000000000000018
2013,769955,942208,澎湖縣,13.55408735056365,13.755981335978323,0.05732856812873344,0.01996430318257225,3.7364264946161185,4.0,6181.0,22784.0,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,8,0,-0.20000000000000018
2014,771376,956849,澎湖縣,13.55593121200885,13.771400873241777,0.0018438614452005453,0.015419537263454686,-1.357567581825414,3.9,6097.0,23747.0,-0.013683223751456808,0.04139767148310014,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,9,0,-0.10000000000000009
2015,673239,964895,澎湖縣,13.419855671884594,13.779774566110916,-0.13607554012425638,0.008373692869138694,-14.444923299339507,3.7,6161.0,23926.0,0.010442255106754672,0.007509527036045682,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,0,0,1,10,0,-0.19999999999999973
2016,896505,993115,澎湖縣,13.706259149256613,13.808601746996494,0.2864034773720192,0.02882718088557823,25.757629648644098,3.8,6283.0,25297.0,0.019608471388375293,0.05572007787884736,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,11,0,0.09999999999999964
2017,724107,1018941,澎湖縣,13.492694450503228,13.834274410626733,-0.21356469875338568,0.0256726636302389,-23.92373623836246,3.7,6412.0,26606.0,0.02032366132649699,0.05045094263415528,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,12,0,-0.09999999999999964
2018,792436,1036304,澎湖縣,13.582867024374751,13.851171095050994,0.09017257387152355,0.0168966844242604,7.327588944726315,3.6,6625.0,29051.0,0.03267913712497972,0.08791615185165114,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,13,0,-0.10000000000000009
2019,867725,1059731,澎湖縣,13.673630123167843,13.873525660297378,0.09076309879309186,0.022354565246384794,6.840853354670706,3.7,6897.0,29879.0,0.040236162576867684,0.028102986389070495,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,1,1,0.10000000000000009
2020,919475,1079648,澎湖縣,13.731558133967388,13.892145620049078,0.057928010799544793,0.01861995975169961,3.9308051047845183,3.9,7238.0,34230.0,0.04825839069239635,0.13594656003965788,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,2,0,0.19999999999999973
2021,676810,1090554,澎湖縣,13.425145862578708,13.902196381967281,-0.3064122713886803,0.010050761918202866,-31.64630333068832,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,3,0,0.19999999999999973
2022,767244,1108569,澎湖縣,13.550560152314553,13.918580552380039,0.12541428973584523,0.01638417041275808,10.903011932308715,3.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,1,4,0,-0.2999999999999998
2023,900915,1136708,澎湖縣,13.711166192517572,13.943646923566812,0.16060604020301916,0.025066371186772685,13.553966901624648,3.5,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,1,1,-0.2999999999999998
2024,792956,1165206,澎湖縣,13.5835230135795,13.968408453384745,-0.1276431789380723,0.024761529817933337,-15.240470875600565,3.3,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,0,0,1,2,0,-0.20000000000000018
1998,891503,873175,臺中市,13.700664081394645,13.67989127292283,,,,2.8,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,
1999,925933,889053,臺中市,13.738557156798962,13.697912130266793,0.03789307540431608,0.01802085734396286,1.987221806035322,3.1,,,,,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,0,0.30000000000000027
2000,855399,891445,臺中市,13.65932330573054,13.700599020607656,-0.0792338510684214,0.002686890340863002,-8.19207414092844,3.3,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,0.19999999999999973
2001,866609,868651,臺中市,13.672343173648281,13.674696712533033,0.013019867917741124,-0.025902308074623903,3.8922175992365027,4.7,,,,,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,1.4000000000000004
2002,843776,875919,臺中市,13.645642335508924,13.683028899889882,-0.026700838139356975,0.008332187356849374,-3.503302549620635,5.4,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,1,1,0.7000000000000002
2003,856510,881662,臺中市,13.66062127210139,13.689564041586747,0.014978936592465075,0.00653514169686531,0.8443794895599765,5.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,2,0,-0.20000000000000018
2004,820520,891249,臺中市,13.617693564596074,13.700379128690377,-0.04292770750531538,0.010815087103630106,-5.374279460894549,4.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,3,0,-0.5
2005,829541,894574,臺中市,13.628627814757028,13.70410290629004,0.010934250160953951,0.003723777599661915,0.7210472561292036,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,4,0,-0.5
2006,881886,913092,臺中市,13.689818074934527,13.72459192120366,0.061190260177498956,0.020489014913620096,4.070124526387886,4.1,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,5,0,-0.10000000000000053
2007,930676,923874,臺中市,13.743666482799298,13.736330977689091,0.05384840786477163,0.011739056485431831,4.21093513793398,4.0,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,6,0,-0.09999999999999964
2008,861977,913687,臺中市,13.666983867155285,13.72524334102077,-0.07668261564401391,-0.011087636668321466,-6.559497897569244,4.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,7,0,0.20000000000000018
2009,814673,887605,臺中市,13.610542084716048,13.696282103192804,-0.056441782439236476,-0.028961237827966002,-2.7480544611270474,5.9,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,8,0,1.7000000000000002
2010,823848,889353,臺中市,13.621741325856242,13.698249511048061,0.01119924114019355,0.001967407855257619,0.9231833284935931,5.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,9,0,-0.5
2011,915341,907988,臺中市,13.72705195242624,13.71898644163707,0.10531062656999879,0.02073693058900794,8.457369598099085,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,10,0,-1.0
2012,886682,923584,臺中市,13.695241685173329,13.73601703279575,-0.03181026725291147,0.01703059115868122,-4.884085841159269,4.2,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,11,0,-0.20000000000000018
2013,928938,942208,臺中市,13.74179727714045,13.755981335978323,0.046555591967120336,0.01996430318257225,2.6591288784548084,4.1,176998.0,3681651.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,12,0,-0.10000000000000053
2014,955599,956849,臺中市,13.770093647970288,13.771400873241777,0.028296370829838935,0.015419537263454686,1.287683356638425,3.9,180975.0,3869056.0,0.022220467104242303,0.04964925676215515,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,0,0,13,0,-0.19999999999999973
2015,970157,964895,臺中市,13.785213193052453,13.779774566110916,0.01511954508216462,0.008373692869138694,0.6745852213025927,3.8,186098.0,3815180.0,0.02791451650098864,-0.014022703838923789,KMT,中國國民黨,DPP,民主進步黨,0,1,0,1,1,0,0,1,1,-0.10000000000000009
2016,949050,993115,臺中市,13.76321676324314,13.808601746996494,-0.021996429809313156,0.02882718088557823,-5.082361069489139,3.8,190819.0,3756184.0,0.025051918088951908,-0.015584297367459143,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,2,0,0.0
2017,1033169,1018941,臺中市,13.84814133588223,13.834274410626733,0.08492457263909081,0.0256726636302389,5.925190900885191,3.7,196484.0,4011606.0,0.029255668288593384,0.06578811146183661,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,3,0,-0.09999999999999964
2018,1065509,1036304,臺中市,13.878963177223756,13.851171095050994,0.03082184134152577,0.0168966844242604,1.3925156917265369,3.7,202450.0,4568301.0,0.029911939420431466,0.1299497034593493,DPP,民主進步黨,DPP,民主進步黨,1,1,0,1,1,0,0,4,0,0.0
2019,1082584,1059731,臺中市,13.894861334000627,13.873525660297378,0.015898156776870564,0.022354565246384794,-0.645640846951423,3.7,206849.0,4275952.0,0.021496115996486154,-0.06613459569727453,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,1,1,0.0
2020,1082645,1079648,臺中市,13.894917679080075,13.892145620049078,5.63450794484055e-05,0.01861995975169961,-1.8563614672251205,3.9,213209.0,4364716.0,0.03028384680973062,0.020546356518279296,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,2,0,0.19999999999999973
2021,1084908,1090554,臺中市,13.897005748734871,13.902196381967281,0.002088069654796243,0.010050761918202866,-0.7962692263406623,3.9,220915.0,5044759.0,0.03550510686528341,0.1447967584214389,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,3,0,0.0
2022,1102924,1108569,臺中市,13.913475392869879,13.918580552380039,0.0164696441350074,0.01638417041275808,0.008547372224931848,3.7,228698.0,5327308.0,0.03462434375993517,0.054496162327916764,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,4,0,-0.19999999999999973
2023,1117013,1136708,臺中市,13.926168716300534,13.943646923566812,0.012693323430655212,0.025066371186772685,-1.2373047756117472,3.5,235599.0,5245755.0,0.02972885137664605,-0.015426866818321727,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,5,0,-0.20000000000000018
2024,1171877,1165206,臺中市,13.974117294806122,13.968408453384745,0.0479485785055882,0.024761529817933337,2.3187048687654865,3.4,242919.0,5690263.0,0.03059684715305977,0.08133729040642201,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,0,0,6,0,-0.10000000000000009
1998,1196141,873175,臺北市,13.994611099520473,13.67989127292283,,,,2.6,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,1,0,
1999,1208578,889053,臺北市,14.004955019864557,13.697912130266793,0.010343920344084268,0.01802085734396286,-0.7676936999878592,2.9,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,1,0,0.2999999999999998
2000,1237777,891445,臺北市,14.028827586760748,13.700599020607656,0.023872566896191216,0.002686890340863002,2.1185676555328214,2.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,2,0,-0.19999999999999973
2001,1217932,868651,臺北市,14.012664896465227,13.674696712533033,-0.016162690295521642,-0.025902308074623903,0.9739617779102261,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,3,0,1.1999999999999997
2002,1232387,875919,臺北市,14.024463497125808,13.683028899889882,0.01179860066058147,0.008332187356849374,0.34664133037320966,4.6,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,4,0,0.6999999999999997
2003,1232396,881662,臺北市,14.024470799999934,13.689564041586747,7.302874125869607e-06,0.00653514169686531,-0.652783882273944,4.6,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,5,0,0.0
2004,1225096,891249,臺北市,14.018529766237343,13.700379128690377,-0.005941033762590919,0.010815087103630106,-1.6756120866221025,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,6,0,-0.39999999999999947
2005,1236014,894574,臺北市,14.027402243796466,13.70410290629004,0.008872477559123126,0.003723777599661915,0.5148699959461212,3.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,7,0,-0.30000000000000027
2006,1262406,913092,臺北市,14.048529981914163,13.72459192120366,0.021127738117696637,0.020489014913620096,0.06387232040765412,3.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,8,0,-0.19999999999999973
2007,1287803,923874,臺北市,14.068448223637786,13.736330977689091,0.019918241723622998,0.011739056485431831,0.8179185238191167,3.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,1,1,0,9,0,0.0
2008,1271060,913687,臺北市,14.055361755981062,13.72524334102077,-0.0130864676567235,-0.011087636668321466,-0.1998830988402034,4.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,1,1,0,10,0,0.2999999999999998
